Skills,Roles,Experience,Availability,ProjectAssignment,BurnRate,PerformanceRating,Overtime,NumberOfProject,AverageMonthlyHours,TimeSpendCompany,Age,Gender,HistoricalPerformanceData,YearsAtCompany,PromotionLast5Years
"UML, SQL, Project Management, Requirements Gathering, Data Modeling",System Analyst,7,Available,Seamless high-level open architecture,0.9,1,True,1,182,1,41,Female,"5, 3, 2, 3, 1",8,True
"Leadership, Budgeting, Project Management, Risk Management",IT Manager,22,Occupied,Enterprise-wide background support,0.81,3,True,1,229,4,48,Female,"4, 2, 1, 3, 1",4,False
"ITIL, Strategic Planning, Risk Management",IT Manager,1,Occupied,Inverse neutral monitoring,0.77,5,False,4,218,8,52,Male,"5, 4, 2, 3, 5",5,True
"Data Analysis, Pandas, Statistics",Data Scientist,20,Available,Mandatory human-resource instruction set,0.88,1,True,10,218,9,35,Female,"5, 4, 2, 4, 5",2,True
"Azure, Networking, Kubernetes, Terraform",Cloud Engineer,8,Available,Reverse-engineered logistical hierarchy,0.5,1,True,2,163,7,33,Female,"1, 4, 4, 1, 3",0,False
"Risk Management, Strategic Planning, ITIL, Budgeting, Vendor Management",IT Manager,15,Occupied,Assimilated background architecture,0.73,1,True,7,236,4,60,Male,"5, 3, 2, 1, 5",0,True
"Vendor Management, ITIL, Leadership, Budgeting",IT Manager,22,Occupied,Organized solution-oriented workforce,0.43,3,False,1,201,6,43,Male,"5, 2, 3, 1, 5",4,False
"Networking, Azure, Cloud Security",Cloud Engineer,21,Occupied,Grass-roots dedicated superstructure,0.81,4,True,9,200,9,28,Female,"3, 4, 5, 4, 2",4,False
"TensorFlow, R, SQL, Python, Matplotlib",Data Scientist,19,Available,Progressive mission-critical pricing structure,0.66,3,True,7,213,6,46,Female,"5, 5, 5, 1, 1",6,True
"Java, CSS, JavaScript",Software Engineer,7,Available,Reactive mobile middleware,0.59,5,True,8,242,3,54,Female,"4, 1, 1, 3, 3",2,True
"CI/CD, Linux, Jenkins, Monitoring, Shell Scripting",DevOps Engineer,8,Available,Stand-alone explicit model,0.47,2,True,1,154,10,49,Female,"1, 2, 5, 4, 2",6,False
"Budgeting, Vendor Management, Strategic Planning, ITIL, Leadership",IT Manager,19,Occupied,Up-sized demand-driven Internet solution,0.74,1,True,5,172,5,35,Male,"5, 4, 3, 5, 2",4,True
"Networking, Google Cloud, Python, Kubernetes",Cloud Engineer,21,Available,Compatible radical process improvement,0.24,3,True,1,217,8,27,Female,"2, 5, 3, 2, 1",7,True
"Risk Management, Budgeting, ITIL",IT Manager,19,Occupied,Extended logistical structure,0.26,5,True,2,170,8,43,Female,"1, 5, 2, 4, 3",5,True
"Django, HTML, SQL, C++, Python",Software Engineer,9,Occupied,Automated directional capability,0.35,3,True,6,191,7,33,Female,"4, 1, 5, 5, 2",10,False
"CI/CD, Linux, Monitoring, Jenkins, AWS",DevOps Engineer,12,Occupied,Team-oriented high-level Graphic Interface,0.05,3,True,8,226,7,46,Female,"4, 4, 4, 4, 2",9,False
"Budgeting, Risk Management, Project Management, Strategic Planning, ITIL",IT Manager,15,Available,Grass-roots optimal productivity,0.52,4,False,10,217,4,38,Female,"1, 3, 3, 2, 2",6,True
"ITIL, Leadership, Vendor Management, Project Management",IT Manager,25,Occupied,Open-architected fresh-thinking customer loyalty,0.75,4,False,9,250,8,26,Female,"3, 3, 2, 1, 1",4,True
"AWS, Kubernetes, Monitoring, Linux, CI/CD",DevOps Engineer,5,Occupied,Persistent coherent array,0.28,5,False,7,201,10,28,Female,"3, 5, 5, 5, 1",9,False
"Vendor Management, Budgeting, Risk Management",IT Manager,18,Occupied,Exclusive user-facing moratorium,0.53,2,False,8,179,9,53,Female,"2, 1, 2, 5, 5",5,True
"Data Analysis, TensorFlow, Statistics, R",Data Scientist,30,Available,Expanded maximized toolset,0.29,5,True,2,167,3,40,Male,"5, 1, 1, 2, 2",5,True
"Docker, Kubernetes, AWS, Jenkins, Azure",DevOps Engineer,30,Available,Focused dynamic complexity,0.84,4,False,3,194,1,59,Male,"2, 1, 2, 3, 3",4,False
"Django, React, Python",Software Engineer,22,Available,Public-key intermediate artificial intelligence,0.36,3,True,9,183,4,52,Female,"2, 3, 2, 2, 1",1,True
"Docker, Azure, AWS",DevOps Engineer,23,Available,Face-to-face contextually-based knowledgebase,0.93,2,False,1,220,4,28,Male,"3, 3, 1, 4, 3",7,True
"SQL, C++, Django, React, Python",Software Engineer,2,Occupied,Cross-group disintermediate product,0.35,2,True,4,159,10,27,Female,"5, 4, 4, 3, 2",0,False
"Project Management, System Design, Requirements Gathering, UML, Data Modeling",System Analyst,11,Occupied,Mandatory responsive focus group,0.81,3,False,2,229,10,23,Female,"5, 2, 2, 2, 2",3,False
"Machine Learning, TensorFlow, Pandas, Matplotlib, Data Analysis",Data Scientist,7,Occupied,Progressive 4thgeneration secured line,0.26,2,True,7,225,10,44,Female,"2, 5, 4, 2, 1",4,False
"Strategic Planning, Project Management, Risk Management",IT Manager,15,Available,Devolved value-added task-force,0.67,3,True,5,185,9,52,Female,"1, 1, 4, 3, 4",0,True
"AWS, Networking, Azure",Cloud Engineer,14,Available,Virtual 3rdgeneration contingency,0.98,3,True,5,163,6,51,Female,"5, 3, 1, 2, 4",10,True
"Data Modeling, Business Analysis, SQL, Requirements Gathering, System Design",System Analyst,9,Available,Compatible real-time approach,0.66,1,False,10,196,7,60,Male,"5, 5, 5, 4, 2",3,True
"HTML, Django, CSS, React",Software Engineer,27,Available,Front-line heuristic knowledgebase,0.4,4,False,4,154,1,50,Female,"2, 2, 5, 5, 4",6,False
"AWS, Kubernetes, Docker, Shell Scripting, Linux",DevOps Engineer,16,Occupied,Versatile upward-trending installation,0.01,3,False,7,224,7,56,Male,"2, 4, 1, 2, 1",0,True
"CI/CD, Linux, Monitoring",DevOps Engineer,20,Available,Synergized mobile focus group,0.79,2,False,4,210,1,46,Female,"4, 1, 3, 1, 5",1,True
"C++, Python, Django",Software Engineer,24,Occupied,Enterprise-wide uniform function,0.84,3,True,2,212,3,52,Male,"4, 2, 1, 1, 4",2,False
"Monitoring, Jenkins, Linux, AWS, Azure",DevOps Engineer,14,Occupied,Phased web-enabled intranet,0.88,5,False,6,205,6,27,Male,"5, 3, 3, 1, 5",7,True
"Azure, Docker, Shell Scripting",DevOps Engineer,8,Available,Proactive reciprocal core,0.92,2,True,10,194,9,33,Male,"5, 1, 2, 3, 2",10,True
"Networking, Kubernetes, Terraform, AWS, Docker",Cloud Engineer,29,Available,Integrated next generation model,0.11,4,False,9,165,9,33,Female,"2, 2, 5, 2, 3",4,True
"AWS, Jenkins, Shell Scripting",DevOps Engineer,29,Occupied,Re-contextualized needs-based project,0.96,2,True,9,201,9,39,Male,"2, 3, 5, 2, 4",9,True
"Statistics, Python, Data Analysis, Pandas, SQL",Data Scientist,10,Available,Sharable cohesive process improvement,0.82,2,True,3,199,8,41,Male,"3, 2, 5, 1, 4",2,False
"Pandas, Matplotlib, TensorFlow, Data Analysis",Data Scientist,13,Available,Expanded context-sensitive focus group,0.63,4,True,6,201,8,31,Male,"4, 5, 5, 3, 3",2,False
"Data Modeling, Requirements Gathering, UML",System Analyst,25,Occupied,Decentralized intermediate help-desk,0.88,3,True,10,161,7,50,Female,"5, 4, 3, 2, 4",10,False
"Terraform, Cloud Security, Networking",Cloud Engineer,5,Occupied,Reduced methodical Internet solution,0.54,2,True,1,155,1,56,Male,"5, 4, 1, 3, 5",6,False
"Networking, Cloud Security, Kubernetes",Cloud Engineer,15,Available,Virtual optimizing task-force,0.32,3,False,1,197,1,50,Female,"3, 4, 4, 5, 5",3,False
"JavaScript, SQL, C++",Software Engineer,14,Occupied,Synergistic object-oriented neural-net,0.19,3,False,1,186,3,47,Male,"3, 5, 2, 3, 5",8,False
"Business Analysis, Requirements Gathering, SQL, UML, System Design",System Analyst,25,Occupied,Customer-focused incremental focus group,0.34,3,True,8,190,3,60,Female,"5, 3, 3, 3, 4",0,False
"AWS, Azure, Kubernetes, Google Cloud, Python",Cloud Engineer,2,Occupied,Seamless context-sensitive infrastructure,0.54,5,False,7,161,6,36,Female,"4, 4, 5, 2, 2",0,True
"Kubernetes, Linux, Monitoring, Azure",DevOps Engineer,6,Occupied,Centralized transitional adapter,0.28,4,False,6,162,6,25,Male,"2, 5, 2, 4, 2",9,False
"C++, SQL, HTML",Software Engineer,30,Occupied,Fundamental multimedia groupware,0.62,1,True,8,182,9,55,Female,"1, 3, 2, 5, 3",6,False
"Python, Docker, Networking, Terraform",Cloud Engineer,21,Occupied,Enhanced stable function,0.7,4,False,5,228,2,42,Female,"2, 4, 5, 3, 1",10,False
"Machine Learning, SQL, TensorFlow",Data Scientist,24,Occupied,Reduced secondary knowledgebase,0.86,4,False,7,199,5,30,Male,"3, 5, 2, 4, 2",6,False
"Data Modeling, Requirements Gathering, Business Analysis",System Analyst,15,Available,Robust value-added hardware,0.29,3,True,4,176,8,60,Male,"2, 2, 1, 4, 3",8,False
"React, SQL, Python, Django, C++",Software Engineer,19,Available,Managed next generation monitoring,0.07,3,False,1,208,3,54,Male,"1, 4, 2, 4, 5",0,False
"UML, SQL, Business Analysis",System Analyst,16,Occupied,Operative regional initiative,0.74,4,True,3,166,2,37,Female,"1, 2, 1, 4, 2",10,True
"Budgeting, Project Management, Vendor Management, Strategic Planning",IT Manager,26,Occupied,Configurable zero administration conglomeration,0.69,3,True,10,168,4,43,Male,"2, 3, 3, 3, 3",1,False
"Strategic Planning, Budgeting, Leadership, Project Management",IT Manager,30,Available,Triple-buffered coherent strategy,0.23,3,False,9,197,1,22,Male,"5, 4, 2, 1, 3",1,False
"UML, Data Modeling, Requirements Gathering, Project Management, System Design",System Analyst,16,Occupied,Fully-configurable bifurcated superstructure,0.86,2,True,7,216,1,33,Male,"5, 3, 2, 3, 2",2,False
"Python, HTML, Django, React",Software Engineer,3,Available,Realigned multi-tasking service-desk,0.56,4,False,7,205,6,22,Female,"4, 4, 3, 2, 2",3,False
"SQL, React, CSS, Java, Python",Software Engineer,18,Available,Integrated dynamic architecture,0.9,4,True,5,201,3,46,Male,"4, 4, 4, 3, 4",7,False
"R, Machine Learning, Matplotlib",Data Scientist,24,Occupied,Phased modular access,0.77,5,False,4,201,10,35,Male,"5, 2, 2, 3, 1",3,True
"Budgeting, Vendor Management, Leadership",IT Manager,15,Available,Up-sized explicit complexity,0.56,3,False,4,196,10,26,Male,"1, 4, 1, 1, 1",3,False
"C++, Django, HTML",Software Engineer,3,Occupied,Ameliorated modular monitoring,0.65,1,False,2,182,8,40,Female,"3, 3, 3, 3, 1",10,False
"Shell Scripting, Kubernetes, Jenkins, AWS",DevOps Engineer,5,Available,Customer-focused coherent initiative,0.91,3,False,8,178,4,40,Female,"4, 5, 1, 5, 3",4,True
"Project Management, UML, System Design, Requirements Gathering, Business Analysis",System Analyst,22,Occupied,Innovative real-time emulation,0.94,3,True,2,164,4,53,Female,"2, 2, 4, 3, 2",6,True
"Project Management, Data Modeling, System Design",System Analyst,24,Occupied,Total mission-critical hub,0.11,5,False,5,177,7,23,Female,"2, 2, 3, 4, 3",5,False
"Requirements Gathering, System Design, UML, Data Modeling",System Analyst,7,Occupied,Re-contextualized impactful function,0.42,4,True,6,210,9,47,Female,"5, 1, 2, 3, 1",1,False
"Business Analysis, Data Modeling, Project Management",System Analyst,15,Available,Profound 6thgeneration analyzer,0.23,5,False,9,165,5,37,Female,"3, 1, 4, 2, 5",10,True
"Data Modeling, Business Analysis, Project Management",System Analyst,30,Occupied,Advanced high-level capability,0.53,5,True,2,161,10,50,Female,"2, 5, 3, 2, 4",2,False
"Strategic Planning, Budgeting, Leadership, Risk Management",IT Manager,4,Occupied,Enterprise-wide upward-trending secured line,0.59,5,False,1,161,1,46,Female,"5, 3, 1, 5, 5",0,False
"Docker, AWS, Linux, Shell Scripting",DevOps Engineer,5,Available,Switchable encompassing throughput,0.46,3,True,4,239,7,51,Female,"5, 4, 1, 2, 1",8,True
"Matplotlib, TensorFlow, SQL",Data Scientist,10,Available,Adaptive empowering alliance,0.8,2,True,1,220,5,29,Female,"5, 4, 1, 3, 5",6,False
"TensorFlow, Data Analysis, Pandas, Statistics, Python",Data Scientist,6,Occupied,Operative intangible ability,0.08,3,False,6,230,3,27,Female,"1, 2, 4, 5, 2",8,True
"Machine Learning, TensorFlow, Data Analysis, Python",Data Scientist,20,Occupied,Cloned interactive moderator,0.69,1,True,2,157,6,31,Female,"5, 5, 2, 4, 1",7,True
"Leadership, ITIL, Vendor Management",IT Manager,21,Occupied,Grass-roots dedicated protocol,0.28,1,True,10,163,1,25,Female,"2, 1, 3, 4, 1",2,True
"SQL, System Design, Project Management",System Analyst,13,Occupied,Fully-configurable fault-tolerant budgetary management,0.0,5,True,4,217,2,60,Female,"4, 2, 2, 5, 3",10,True
"Risk Management, Project Management, Strategic Planning",IT Manager,19,Available,Compatible holistic initiative,0.28,4,False,10,195,5,50,Male,"3, 3, 4, 1, 2",0,False
"Python, SQL, Matplotlib",Data Scientist,5,Occupied,Progressive actuating hardware,0.88,1,True,9,234,4,54,Female,"4, 2, 3, 4, 1",4,True
"Risk Management, Budgeting, Project Management, ITIL",IT Manager,17,Available,Focused executive secured line,0.85,1,False,8,222,5,48,Female,"2, 4, 5, 5, 4",9,True
"Project Management, Budgeting, Risk Management, Strategic Planning, Leadership",IT Manager,22,Occupied,Multi-tiered 24hour Local Area Network,0.09,3,True,6,193,5,39,Male,"2, 1, 3, 1, 4",2,False
"Budgeting, Project Management, Leadership",IT Manager,13,Occupied,Reduced foreground superstructure,0.05,4,False,4,234,6,30,Male,"2, 2, 5, 5, 5",7,True
"Statistics, TensorFlow, SQL",Data Scientist,26,Occupied,De-engineered bandwidth-monitored structure,0.49,2,True,10,167,5,38,Female,"1, 5, 1, 4, 1",5,False
"Project Management, System Design, Data Modeling",System Analyst,30,Available,Assimilated homogeneous moderator,0.2,4,False,7,200,4,24,Male,"4, 1, 4, 3, 1",4,False
"Terraform, Networking, Azure, Cloud Security, AWS",Cloud Engineer,22,Available,Switchable clear-thinking product,0.35,5,True,5,228,4,60,Male,"4, 3, 5, 1, 5",8,True
"Leadership, Strategic Planning, Risk Management",IT Manager,18,Available,Universal transitional frame,0.87,5,False,4,235,4,34,Male,"2, 3, 2, 1, 2",3,True
"Azure, Terraform, Cloud Security",Cloud Engineer,9,Occupied,Adaptive holistic framework,0.38,5,True,8,208,5,31,Female,"2, 4, 1, 2, 1",1,True
"Data Modeling, Business Analysis, UML, SQL, Project Management",System Analyst,2,Occupied,Right-sized scalable portal,0.02,4,False,5,249,6,22,Male,"2, 3, 1, 2, 5",0,False
"ITIL, Project Management, Leadership",IT Manager,25,Available,Persevering contextually-based capability,0.88,5,False,2,186,8,29,Female,"1, 4, 4, 3, 1",6,False
"Data Modeling, UML, Project Management, SQL",System Analyst,17,Available,Grass-roots real-time standardization,0.72,4,True,1,153,7,59,Female,"3, 1, 1, 5, 2",0,True
"Django, Java, JavaScript, SQL, Python",Software Engineer,30,Occupied,Progressive client-server monitoring,0.35,5,True,3,164,7,53,Male,"2, 3, 1, 5, 5",3,True
"Google Cloud, Docker, Azure",Cloud Engineer,10,Occupied,Polarized exuding algorithm,0.17,2,True,6,157,3,58,Male,"3, 5, 3, 5, 3",3,True
"SQL, Data Modeling, Requirements Gathering, UML, Project Management",System Analyst,7,Available,Customizable next generation encoding,0.11,4,False,1,246,7,38,Male,"2, 3, 3, 2, 3",3,True
"Matplotlib, Data Analysis, Statistics, Machine Learning",Data Scientist,12,Occupied,Optional optimizing product,0.04,3,False,10,179,8,46,Female,"5, 4, 3, 5, 4",4,False
"Pandas, Matplotlib, Data Analysis, SQL, Statistics",Data Scientist,9,Available,Open-source object-oriented application,0.61,1,False,7,197,7,50,Male,"3, 1, 1, 5, 3",7,True
"Budgeting, Project Management, Risk Management",IT Manager,22,Occupied,Networked scalable hardware,0.54,1,False,2,232,9,59,Female,"5, 3, 3, 3, 3",3,True
"Business Analysis, Project Management, SQL",System Analyst,11,Available,Cloned heuristic open architecture,0.39,5,False,9,227,2,60,Male,"5, 4, 4, 4, 2",7,True
"Vendor Management, ITIL, Risk Management, Budgeting, Strategic Planning",IT Manager,13,Available,Extended neutral moderator,0.39,1,False,10,212,4,32,Female,"1, 4, 2, 3, 5",5,True
"Project Management, Strategic Planning, Budgeting, Risk Management",IT Manager,29,Occupied,Vision-oriented transitional help-desk,0.23,2,True,7,245,5,30,Male,"1, 4, 5, 5, 3",5,False
"Business Analysis, System Design, SQL, Requirements Gathering, UML",System Analyst,15,Available,Distributed impactful matrices,0.94,1,True,3,164,3,52,Male,"5, 2, 1, 4, 3",0,False
"Monitoring, Jenkins, Azure, Linux, Docker",DevOps Engineer,15,Occupied,Extended zero tolerance adapter,0.11,1,False,8,202,3,57,Female,"2, 1, 5, 2, 5",1,False
"Project Management, Leadership, Strategic Planning",IT Manager,19,Occupied,Persistent scalable firmware,0.93,4,True,7,231,3,28,Male,"3, 2, 3, 1, 2",10,True
"Vendor Management, Budgeting, ITIL, Leadership",IT Manager,22,Available,Phased dynamic framework,0.94,4,False,1,178,1,59,Female,"1, 2, 2, 4, 2",3,False
"Budgeting, Project Management, Strategic Planning, Leadership, Risk Management",IT Manager,14,Occupied,Visionary executive conglomeration,0.27,1,True,1,152,10,55,Male,"1, 3, 4, 4, 4",10,False
"Azure, Cloud Security, Docker, Networking",Cloud Engineer,8,Occupied,Business-focused cohesive concept,0.26,1,False,1,239,7,40,Female,"4, 1, 1, 2, 1",2,False
"Budgeting, ITIL, Strategic Planning",IT Manager,18,Occupied,Re-contextualized cohesive website,0.33,3,True,4,152,7,38,Female,"5, 1, 2, 2, 3",8,True
"AWS, Python, Cloud Security, Google Cloud",Cloud Engineer,28,Available,Mandatory radical solution,0.19,4,False,9,249,5,44,Male,"5, 4, 3, 2, 2",6,False
"Python, Matplotlib, Machine Learning, Data Analysis",Data Scientist,23,Available,Focused fault-tolerant analyzer,0.15,5,False,3,154,5,31,Male,"4, 5, 4, 5, 4",2,True
"Data Modeling, System Design, SQL, Project Management, UML",System Analyst,21,Occupied,Organized optimal circuit,0.59,3,True,1,201,6,54,Female,"4, 4, 4, 3, 2",10,False
"Python, Pandas, SQL, TensorFlow, Machine Learning",Data Scientist,21,Available,Self-enabling global orchestration,0.74,4,False,3,182,10,56,Male,"2, 5, 5, 4, 4",1,False
"HTML, Django, Java, Python",Software Engineer,29,Available,Business-focused uniform moratorium,0.24,2,False,7,223,10,50,Female,"2, 4, 5, 4, 1",4,True
"Linux, CI/CD, Monitoring, Jenkins",DevOps Engineer,12,Available,Profound uniform collaboration,0.81,2,True,4,162,6,49,Male,"2, 4, 4, 4, 5",5,False
"Monitoring, Linux, Docker, Azure",DevOps Engineer,20,Occupied,Optimized next generation customer loyalty,0.5,5,True,6,196,8,47,Male,"5, 4, 4, 5, 3",7,False
"SQL, R, Matplotlib, TensorFlow, Machine Learning",Data Scientist,30,Occupied,Persevering system-worthy pricing structure,0.99,5,True,3,240,8,25,Female,"4, 3, 3, 1, 2",0,True
"UML, Requirements Gathering, SQL, System Design",System Analyst,18,Occupied,Open-source content-based hub,0.98,4,False,9,154,4,37,Female,"1, 3, 4, 2, 5",6,False
"Django, SQL, JavaScript, HTML",Software Engineer,21,Occupied,Intuitive reciprocal frame,0.67,1,True,8,174,2,44,Male,"4, 3, 3, 1, 3",7,False
"Budgeting, Vendor Management, Strategic Planning, Risk Management",IT Manager,19,Occupied,Reverse-engineered hybrid neural-net,0.95,5,False,3,151,1,51,Female,"1, 5, 3, 4, 1",1,False
"Docker, Terraform, Kubernetes, Python, Cloud Security",Cloud Engineer,7,Available,Right-sized disintermediate throughput,0.43,2,True,10,192,7,42,Male,"2, 1, 2, 2, 4",7,True
"Data Analysis, Pandas, R",Data Scientist,15,Available,Optimized foreground approach,0.36,4,True,10,205,10,55,Female,"4, 1, 2, 1, 5",10,False
"Google Cloud, Python, Terraform",Cloud Engineer,23,Occupied,Devolved context-sensitive throughput,0.02,4,False,4,184,4,47,Female,"5, 5, 5, 3, 1",7,False
"C++, JavaScript, CSS, HTML",Software Engineer,18,Occupied,Cross-platform impactful leverage,0.22,5,False,3,177,3,26,Male,"4, 5, 5, 2, 3",10,False
"Data Modeling, SQL, Business Analysis, System Design",System Analyst,16,Available,Front-line 24/7 strategy,0.23,1,True,1,176,8,51,Male,"4, 3, 4, 5, 3",6,True
"Azure, Jenkins, CI/CD, Shell Scripting",DevOps Engineer,5,Available,Seamless intangible success,0.94,3,False,3,246,2,52,Female,"2, 3, 5, 4, 3",7,True
"Python, Machine Learning, TensorFlow, Matplotlib, Data Analysis",Data Scientist,18,Available,Universal web-enabled toolset,0.96,3,True,9,202,4,60,Male,"5, 2, 5, 5, 1",1,True
"Data Analysis, R, Python, Matplotlib",Data Scientist,29,Available,Compatible reciprocal matrix,0.98,4,True,5,196,1,59,Female,"3, 4, 3, 2, 1",2,False
"CSS, HTML, C++",Software Engineer,25,Available,Integrated contextually-based solution,0.57,2,False,7,164,7,52,Female,"2, 3, 5, 5, 4",10,True
"Azure, Docker, Kubernetes, Networking, Cloud Security",Cloud Engineer,15,Occupied,Streamlined attitude-oriented Local Area Network,0.03,1,True,1,202,5,60,Male,"2, 1, 4, 5, 1",2,False
"Monitoring, CI/CD, Docker, Kubernetes, Linux",DevOps Engineer,18,Occupied,Monitored incremental protocol,0.0,4,False,3,213,10,40,Male,"2, 3, 3, 1, 1",2,True
"Data Analysis, Statistics, Python, SQL",Data Scientist,16,Available,Multi-channeled scalable Graphical User Interface,0.82,2,True,7,215,10,36,Female,"3, 4, 1, 5, 4",10,True
"Pandas, R, TensorFlow, Statistics, Python",Data Scientist,6,Available,Customer-focused responsive algorithm,0.24,5,True,8,179,5,45,Female,"5, 3, 2, 3, 2",9,True
"Shell Scripting, Linux, Azure, Kubernetes, AWS",DevOps Engineer,18,Available,Progressive multi-tasking middleware,0.23,1,True,6,209,2,25,Female,"3, 2, 5, 1, 1",8,True
"Leadership, Risk Management, ITIL",IT Manager,18,Available,Organized local analyzer,0.79,3,False,10,166,7,51,Female,"2, 1, 1, 4, 5",0,False
"Matplotlib, Machine Learning, Python",Data Scientist,17,Available,Cross-group 24/7 challenge,0.16,2,False,6,246,2,26,Male,"3, 1, 5, 2, 5",7,True
"Leadership, Project Management, Strategic Planning",IT Manager,1,Available,Synergistic optimizing architecture,0.95,1,True,10,171,10,28,Female,"5, 4, 1, 5, 2",4,True
"Data Modeling, Project Management, Requirements Gathering",System Analyst,4,Available,Multi-tiered encompassing utilization,0.73,4,False,9,202,4,22,Female,"5, 1, 4, 4, 4",7,True
"Risk Management, Budgeting, Project Management, ITIL",IT Manager,27,Available,Horizontal client-server focus group,0.2,4,False,8,203,4,54,Male,"2, 2, 4, 3, 1",6,False
"System Design, SQL, Requirements Gathering",System Analyst,14,Occupied,Proactive mobile intranet,1.0,3,True,7,201,9,28,Female,"2, 5, 3, 1, 5",9,True
"CI/CD, AWS, Linux, Azure",DevOps Engineer,9,Occupied,Multi-tiered heuristic open system,0.22,2,True,2,203,4,53,Male,"2, 5, 2, 2, 3",8,False
"SQL, TensorFlow, R",Data Scientist,1,Available,Mandatory heuristic migration,0.54,1,True,9,233,4,53,Male,"3, 5, 1, 4, 3",5,True
"Requirements Gathering, Project Management, System Design, Business Analysis",System Analyst,24,Occupied,Diverse hybrid archive,0.65,5,True,6,190,8,46,Male,"2, 4, 3, 2, 2",9,True
"Strategic Planning, Project Management, Leadership",IT Manager,1,Available,Switchable motivating leverage,0.79,2,False,10,202,1,55,Female,"5, 3, 4, 1, 3",10,False
"Strategic Planning, Vendor Management, ITIL, Leadership, Risk Management",IT Manager,29,Available,Virtual zero administration functionalities,0.73,2,False,9,231,8,45,Female,"1, 4, 1, 3, 1",5,False
"UML, Data Modeling, Business Analysis, SQL",System Analyst,16,Occupied,Polarized asymmetric project,0.71,4,True,8,176,9,32,Male,"1, 4, 5, 1, 1",4,True
"Project Management, Requirements Gathering, Business Analysis, System Design, UML",System Analyst,14,Occupied,Cloned disintermediate product,0.18,5,False,2,200,4,38,Male,"3, 4, 3, 1, 2",7,True
"SQL, Django, HTML, Java, CSS",Software Engineer,18,Occupied,Cloned heuristic system engine,0.34,3,False,9,225,2,28,Male,"1, 1, 5, 5, 5",6,True
"Matplotlib, Machine Learning, SQL, R, TensorFlow",Data Scientist,4,Occupied,Grass-roots composite open system,0.37,3,False,2,239,9,51,Male,"1, 5, 4, 5, 4",3,True
"R, Machine Learning, Pandas, TensorFlow, Statistics",Data Scientist,11,Occupied,Exclusive solution-oriented structure,0.01,5,True,10,156,2,34,Female,"2, 4, 5, 5, 5",4,True
"Cloud Security, AWS, Google Cloud, Azure, Networking",Cloud Engineer,23,Occupied,Synergistic systemic installation,0.3,3,False,8,192,2,59,Female,"1, 1, 4, 5, 1",3,True
"Pandas, TensorFlow, Python, Matplotlib",Data Scientist,5,Available,Compatible solution-oriented portal,0.17,2,True,9,178,5,40,Female,"4, 5, 2, 4, 4",3,True
"CSS, React, JavaScript, SQL",Software Engineer,29,Available,Multi-tiered national access,0.75,5,False,10,185,8,49,Female,"4, 2, 5, 3, 2",5,False
"Linux, AWS, Jenkins, CI/CD",DevOps Engineer,22,Available,Ergonomic fresh-thinking concept,0.75,4,False,4,167,5,51,Female,"2, 3, 3, 5, 3",1,False
"Terraform, Google Cloud, AWS",Cloud Engineer,28,Available,Total analyzing superstructure,0.34,1,False,4,213,9,55,Female,"1, 2, 3, 5, 5",1,False
"Cloud Security, Kubernetes, Google Cloud",Cloud Engineer,5,Occupied,Virtual background solution,0.51,2,False,5,172,2,50,Male,"1, 2, 5, 4, 3",8,True
"Project Management, Vendor Management, Risk Management",IT Manager,18,Occupied,Object-based scalable model,0.59,3,False,4,156,7,26,Male,"2, 5, 3, 2, 4",2,False
"SQL, R, Python, Pandas, Machine Learning",Data Scientist,26,Occupied,Balanced high-level artificial intelligence,0.1,5,False,9,229,3,33,Male,"4, 1, 1, 1, 5",2,False
"Project Management, Vendor Management, ITIL, Risk Management, Leadership",IT Manager,2,Occupied,Reverse-engineered radical complexity,0.03,1,True,9,153,10,51,Male,"4, 4, 3, 1, 2",9,True
"Terraform, Docker, Networking, Google Cloud",Cloud Engineer,23,Available,Configurable executive portal,0.43,3,False,9,249,2,47,Male,"1, 1, 3, 1, 1",2,False
"R, Statistics, Data Analysis, Python, TensorFlow",Data Scientist,18,Occupied,Realigned leadingedge access,0.41,5,True,3,186,1,24,Male,"1, 5, 2, 3, 5",9,True
"Project Management, Vendor Management, Risk Management",IT Manager,28,Occupied,Progressive real-time benchmark,0.11,5,False,7,160,9,29,Male,"4, 1, 3, 4, 4",6,False
"JavaScript, CSS, HTML, Django",Software Engineer,11,Occupied,Down-sized secondary ability,0.85,5,True,2,213,3,37,Male,"1, 4, 4, 4, 4",6,False
"Matplotlib, R, Statistics",Data Scientist,12,Available,Extended exuding attitude,0.41,3,True,5,173,2,46,Female,"3, 2, 3, 5, 4",4,False
"React, SQL, C++",Software Engineer,9,Occupied,Synchronized fresh-thinking concept,0.09,3,False,1,234,6,37,Male,"1, 3, 2, 4, 1",8,False
"Budgeting, Project Management, Vendor Management",IT Manager,13,Available,Monitored disintermediate analyzer,0.73,4,False,3,194,3,32,Female,"2, 2, 4, 5, 5",6,True
"Requirements Gathering, Project Management, Data Modeling, UML, Business Analysis",System Analyst,29,Available,Re-contextualized value-added initiative,0.11,5,False,1,150,1,54,Female,"4, 2, 5, 1, 5",10,False
"AWS, Kubernetes, Networking, Cloud Security",Cloud Engineer,7,Occupied,Switchable user-facing solution,0.98,4,True,1,250,3,27,Female,"3, 3, 5, 4, 1",10,False
